전체 IPC,Unnamed: 2,Unnamed: 4,Unnamed: 6,Unnamed: 8,Unnamed: 10,Unnamed: 12,Unnamed: 14,Unnamed: 16,Unnamed: 18,Unnamed: 20,Unnamed: 22,Unnamed: 24,Unnamed: 26,Unnamed: 28,Unnamed: 30,Unnamed: 32,Unnamed: 34,Unnamed: 36,Unnamed: 38,Unnamed: 40,Unnamed: 42,Unnamed: 44,Unnamed: 46,Unnamed: 48,Unnamed: 50,Unnamed: 52,Unnamed: 54,Unnamed: 56,Unnamed: 58,Unnamed: 60,Unnamed: 62,Unnamed: 64,Unnamed: 66,Unnamed: 68,Unnamed: 70,Unnamed: 72,Unnamed: 74,Unnamed: 76,Unnamed: 78,Unnamed: 80,Unnamed: 82
C08L, C08K, C08K, C08K, C08K, C08L, C08L, H02G, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62C, A62C, B64C, B64C, B64D, B64D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C04B, C04B, C04B, C04B, C04B, C04B, C04B, E04B, C04B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C04B, C04B, C04B, C04B, C04B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C22C, C22C, C22C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62D, A62D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62C, A01M, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62C, B64C, B64D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
E04B, C04B, E04C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C22C, C22C, C22C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62C, A62C, A62C, A62D, B64D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64C, A62C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D21H, A47C, B32B, B32B, B32B, B68G, D04H, D21H, D21H, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64D, A62C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C08J, C08G, C08G, C08G, C08L, C08L, C08L, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
E04B, B32B, B61D, E04B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62C, A62C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62C, B64D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62C, A62C, F16B, H02G, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
G01S, B64C, B64U, B64U, B64U, B64U, B64U, B64U, B64U, B64U, H01Q, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64C, F16J, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
F02C, F01D, F02K, F02C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A47B, E05B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64D, B64D, B64D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B66F, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
